Lable,Topic,Text
1,"Blah, ugly, and shower chills","It does function, but I can't say anything else pleasant about this shower head. It is ugly, it is very hard to adjust the height (stiff arm, limited ROM) and it has a small circumference of water that rains down with low pressure. You can find something way better for the money. Keep looking. I made my boyfriend take it back."
1,Turn around and run,"I had one for about 7 years, yes it worked great, until one day it broke and would not stay up. I ordered one just like it, when it came I put it on and used the shower one time and it did not want to stay up very good. Then my wife was taking a shower and all of all sudden it broke and would not stay up at all. We did not get two showers out of it. Will NOT order a nother one. 30 some dollars down the drain."
1,Poorly designed piece of junk!,"The flex neck on this product is so weak & poorly designed it won't hold up the showerhead. This means in order to take a shower you have to stand under it, hold the head up with one hand & wash with the other. Otherwise it will fall down & hit you on the head! This could probably be remedied by installing it as handheld, but that requires an adaptor shown in the product instructions. Problem is Amazon doesn't carry them, I can't find one at any retailers carrying Waterpic & it's not even shown on the shower accessory page of Waterpics's own website! This piece of junk is going back tomorrow & I'll get a rain showerhead worth owning!"
1,Mints a disaster,"I have bought the old Spearmint Altoids and they had a wonderful flavor. The new Spearmint Altoids are terrible. You cannot tell the difference between the new spearmint, peppermint and wintergreen mints.Altoids needs to investigate why the New Spearmint does not come close to tasting like Spearmint. I would have been better off just buying Spearmint Tic Tacks."
1,A BIG disappoint-mint!,"These have always been my favorite mint...not just for the refreshing REAL taste, but for the fact that while the rest of the mint world seemed to cave under the pressure to put all types of carcinogenic and toxic ARTIFICIAL chemicals and sweeteners in their gum, candy and mints, this company still maintained the integrity of their ingredients! Then, one day, Wrigleys decides to throw integrity out the window! The only recipe they have yet to ruin is the Peppermint Altoids, but everyone knows the original flavors were so much better! We don't care that they are white! I, for one, do not choose my mints by their color, and since these mainly cater to adults, why not put back the good ingredients, so these don't fade into the woodwork with the rest of the artificial imposters! Then, those of us who care what we put into our bodies, can raise our children and grandchildren on them, and the tradition will live on! :)"
1,"Looks good, but...","This product looks good but we found it to be a general dissappointment. Despite installation that included teflon tape, we could never get it to stop leaking. Also, we could never get the shower head into a comfortable position and get it to stay put. The biggest problem had to do with hard water. Although we don't have exceptionally hard water, we had to have it replaced twice in two years. The switch stopped working and we had water continually coming out of both settings. On a good note, Waterpik was very accomodating about the product warranty. I think we'll go back to something simpler and less expensive."
1,Waterpik CF-201 Cascadia Drenching Rain Showerhead,"Awful, like the others said, IT SAGS! It won't stay where you put it, after a while the different settings stop working, Waterpik has a great return policy but after a while you get tired of dealing with it."
1,Doesn't Last,"I have been using this showerhead for about a year now. At first I quite liked it. However, lately it does not switch properly between modes. Sometimes it is half and half, sometimes it dribbles out the middle. This is disappointing and means I have to replace it. I believe a showerhead should last more than a year and will no longer buy any waterpik products."
1,A Sagging Disappointment,"It looks really cool, BUT end up being very disappointing. The head is too heavy and sags during the shower from I would guess the weight of the water. During my shower, it eventually sags until it touches the top of my head. I push it back up and 5 minutes later, it hits my head again. Very frustrating. I removed it after 2 weeks of this game."
1,Handle broke after one month.,The plastic connector from the handle to the latch mechanism broke without warning one month after installation. Beware of imitations. This is not a genuine Nissan part.
1,Cheap materials ruin this product,"In a word this is junk. The flexible arm is too weak to support the large rainfall head. From day one it wanted to droop down and not stay in place. If I managed to get it in the desired position it only took the slightest touch to make it fall back down - forget about the button for spray selection. It's very disappointing considering I had an older ""gooseneck"" shower head from Waterpik that worked without any issues, but it seems they decided to go with a cheap design that renders this product essentially unusable."
1,Gross!!!,This grows mold because all the water does not drain out of it after each shower. Too gross! Don't buy- we are replacing ours asap.
1,HORRIBLE,I didn't even have the shower head for 24 hours and the neck of it broke.Save your money and get something else.
1,Misleading book title,This book has almost nothing to do about rifles. It is about double barrel shotguns. The title implies that this is a book about rifles. I feel it is misleading and deceptive.
1,Dissapointing,A very comprehensive study of each and every season Butkus played with the Bears. But I was hoping for much more about Butkus's life off the football field. I would have liked to have heard more anecdotes about players he played with and against. Also would have been interesting to hear personal insights from Dick regarding what he felt about the awe-like reputation he inspired on the field from fans and players alike.This reads too much as a season-by-season and game-by-game account of his career. Interesting at first but repetitive and dry over time. I was hoping for more.
1,Love the history; this printing did not include some pages.,"I was thoroughly enjoying skimming through the book for old ideas in household gadgets, clothing and such, when I looked specifically for ""kit houses."" It was not mentioned, but ""house"" was - on a page that was not printed in this edition. I began from the beginning of the book and found countless pages not printed. Page 21 was on the back of 24, 27 was on the back of 34, and so on. That was very disappointing, which is why I slashed the rating. Did these pages get included in newer reproductions? I'd like to see what was missing. And I would love to see a description of kit houses and how much they went for in those days."
1,Miserable quality,"These so-called adapters are of such poor quality, it is not worth your few dollars to get them, even with Prime. They are not milled to the standard 3.5mm plug spec, and you may run into the problem I did, which is that it ruined the device I plugged into. I'm handy with the soldering iron, so I will be able to fix it, but this purchase will cost me more to repair the damage than I saved by not getting the Monster adapter."
1,Doesn't work at all,"I have hearing lost in one ear, so I was attempting to to get stereo sound into just one side of my headset. Disabling one doesn't enable mono sound, thats been established many time online. Anyway, I got this product hoping i could do that. But it doesn't even work at all. Zero sound."
1,Boring!,"My son was excited to get this game for Christmas, but after playing it one time was disappointed. Not worth the cost of the game."
1,A fair historical recounting heavily diluted by personal memoirs,"Mr. Leschak writes quite well, I think. But, as was stated in other reviews, unless you have a real interest in wildfire fighting from a ""line boss"" point of view, this effort is less about Peshtigo and firefighting than it is about Mr. Leschak's personal spiritual journey and his finding personal fulfillment leading a fire crew. He is quite unapologetic about his disavowal of all things religious, having become quite immersed in his own revelation as it relates to the natural world.What he does share about Peshtigo is enlightening and very absorbing. It is not as wanting as some might think, and the author ties in his own personal spiritual turmoil with the Catholic priest's encounter with the fury of nature (or is it an act of judgment?). Unfortunately, what one does read about the Peshtigo fire is about what you'd expect in a magazine story; just enough to whet your appetite for more."
1,"Horrible, and honestly a bit propagandist.","This game is really just not fun. Unless you really embrace the roles you are given in the instructions, money grubbing jerk for monopolists valiant defender of the free market for the competitors, I don't really see how you can enjoy yourself. My wife and I were both very excited to give it a try, but that hope decreased rapidly as we read through the instructions and ran out before we made it around the board even one time."
1,the WORST board game ever,"I bought this game for my brother as a Christmas present because I thought it sounded intriguing. It turned out to be the worst Christmas present ever. My brother hated it so much he started screaming and throwing the game pieces across the room. If you're looking to buy a board game please, please, please, please, please, please don't pick this one.The point of the game is that you can choose to be a competitor or a monopolist, and there are different rules for each. Unlike with the other reviewers, to us the game seemed rigged against the monopolists. But whether it's rigged against the monopolists or the competitors, who wants to play a game that's rigged?"
1,Teaches an Erroneous Lesson,"Unfortunately, this entire game is based upon a false premise and thus teaches an erroneous lesson. The game itself is a market. And a given market breaks down into one of 3 categories: Monopoly, Oligopoly(Limited Competition), or Panopoly(Full/Open-Competition). The original game itself actually starts as an oligopoly or panopoly, with price fixing(READ: Government subsidy or regulation), and the objective of becoming a monopoly.You cannot have a monopoly faction competing against a competitive faction. If this games illustrates anything, it illustrates the detrimental effect of government regulation subsidizing one faction of a market, and forcing another faction to compete against them. Which in the real world and in the game, as the other reviews have also largely indicated, kills competition."
1,MALISIMA!!!! NO PIERDAN SU DINERo,"Lo peor de lo peor, mal aprovechado el tiempo en verla!!!! Hueca, vacia, sin humor, mas de lo mismo, el gordito tonto y chistoso( pero en esta movie hizo la excepcion, no era gracioso para NADA!) el tonto enamorado( sobreactuadisimo!!!) y el de dinero que era el winner!! :(..... . la pelicula salta de cuadro en cuadro, no es correlativa, hay mucho silencio entre lineas, falta de experiencia y malisimos actores!!!!!!! NO LA VEAN!!!!! MUCHO MENOS LA RENTEN NI COMPREN!!!!!"
1,"Shotguns, not American Hunting Rifles",Mostly about shotguns. Not American hunting riles. I guess this English publisher thinks shotguns are rifles.
1,Disappointed,"I was VERY disappointed with this book because it was recommended as a good account of the Peshtigo fire; yet, what the author actually had to say about this event could have fit into less than one chapter. I could not, however, justify giving it only one star as what he did say about the fire was interesting. This book would probably be read with great interest by those excited by helicopters and/or fighting wildfires as these are the real focuses of this book. Time after time, when I expected the author to really get into the Peshtigo fire, I was dismayed once again to find he once again goes into a long litany about himself which seems to be his true obsession. I got very tired of his self-praise and importance, his use of ""big words"" - as though to impress when plain language would have suited better, his over-emphasis on descriptive phrasing, and incomplete sentences! If you want to read about the Peshtigo fire, don't bother with this book."
1,Mostly just perversion,"""Decapitator Asa"" is a sword tester and executioner for the shogun. This is the premise. It is an excuse to explore the tales of violence, sex, and perversion that have led criminals to the chopping block, so to speak. The illustration in uncolored pen and ink is mediocre. Not sure what the deal is with these strange period dramas set in the Edo period, like Hanzo the Razor, too. I'm always a sucker for sword and sandal epics, East or West, but skimmed this one just to see what the series is like. Not that enjoyable and don't care about the characters."
1,i got a huge bottle from costco,"this stuff tastes NASTY. the ingredients look similar to some Filipino adobo marinades(mostly soy sauce), but the flavor is mostly salty(its mostly made for soy sauce)sour/bitter earthy. avoid this product, protect your toungeother thought- what kind of sauce is made out of another sauce?"
1,What could be more boring than a fishing show?,"Sure, it was supposed to be a spoof on a fishing show. Imagine creating a home movie that spoof's your grandmother doing laundry and petting the cat. You wouldn't waste your time... which begs to question why these guys did. Willem Dafoe manages to once again bring a brilliant performance to an otherwise graham cracker production. I wouldn't return it to Amazon, but if John showed up at my doorstep and apologized, I would gladly accept. It gets two stars, because I reserve the 1 star rating for anything with Bill Paxton."
1,Worst BBQSauce,"This is hands down, the worst BBQ sauce we've ever had, there is really no other way to say it.We purchased a 73oz bottle from our local Costco and it ruined our BBQ, very disappointed."
1,Pure garbage,"It never ceases to amaze me how idiots can enjoy crappy film making like this, and rate it as excellent, filled with humor, etc., etc. Lurie is an idiot, who brings out the same in his guests. If that passes for humor today, then so be it. Lurie laughed all the way to the bank. I'm ever so glad that I previewed it on YouTube and did not pay for it. Unbelievable, pure garbage and a waste of time, spent with people who are full of themselves for no good reason."
1,Nothing About Fishing,This movie should come with a warning label that indicates it has NOTHING to do with fishing. Both the host of the show and the stars know absolutly nothing about the topic in the title...that of fishing. They do everything else but fish. The voice over throughout the movie is done in a monotone and flat voice that is supposed to be funny but is more annoying than anything else. If you are a fisherman or are thinking of this as a gift for a fisherman DO NOT buy this movie!!
1,What????,"I bought this for my dad's birthday. He is a fisherman. This movie is one of the worst I've ever seen. Not entertaining, not funny, not interesting, not even a fishing movie. I bought it based on several reviews I read. This is the first time I've been led astray on Amazon. The ""5 Stars"" rating must be a review by people with a financial interest in this waste of digital energy."
1,Yet another shameless self promotion from Playboy,"The only really worthwhile information I got from this book was about the coat hangers. The rest of the book is littered with the same self important tripe Playboy is famous for. Anything for another buck. If you want to know how pygmy s use goat eyelashes for sex, or the dozen plus different definitions of Venus butterfly then buy this book. If you actual want to improve your love life try sitting down and TALKING to your partner.Playboy does not more know about your own sex life than you do."
1,Marginal,"While the book has some interesting ideas in it, I was appalled at a handful of them, such as #59 (putting an Alka Seltzer in a woman's vagina) and #104 (geting head while driving a car). I would never place a carbonated item inside a woman's vagina, nor would I want to be receiving oral sex while trying to drive! Ideas like these, despite the author's claims to the contrary are plain dangerous.The comment on one trick that ""large-breasted women are more sexually experienced than smaller breasted women"" also bothered me. Does the author or the person who came up with that trick know this from personal experience? I certainly haven't found this to be true in my own experiences.If you're looking for ways to spice up your sex life, there are numerous other books out there to read, like the Sex Toy Tricks series by Jay Wiseman, Bondage On A Budget, or even the Sex for Dummies book.I'll pass on this one, thank you."
1,"Man, was I dissapointed!!","Some people say they like this book cus it's more real. I thinks that's stupid! It makes life look like something its not, like how everything goes wrong with the girls and their love life, PLEASE!! If you ask me the best Nacy Drew seires is Nancy Drew Files. In that seiris she does not seem to fake (like she sometimes did in the origanal books) yet I did not get deppresd like I did in this book. I mean com'on reading is for enjoyment!! Read the files they are sooooo much better she's older and more mature!! The Files still have love and stuff, but don't spend half the book talking about it. Read the Files!!! (my opinion, some people think differently!!)"
1,Too much b.s.,"The chapter on thinking was intriguing, even though there was a taste of b.s. I looked forward to it getting better, or at least providing some additional help. Instead, it went rapidly downhill, talking about ""moods"" as if they came out of the blue -- and it actually got worse, because it was like someone flogging an already dead horse (his point) to prove he can resurrect it."
1,Useless Skinsations,I have tried this product on two occasions. Despite repeated applications the mosquitoes just kept biting. It isn't worth the price.
1,To Big!!!,"Bought this to use in my damaged iPhone 4, which only plays right side, but when I finally got it the adapter was slightly larger than 3.5mm and would not fit. Waste of money."
1,Not original recordings...,"I think the only original recording is ""Sweet Old-Fashioned Girl."" She does a good job on the others, but for those who won't accept anything less than the originals, this isn't for you."
1,"Dated, and cheap 50's pop muzak...","This is middle of the road pop music from the 50's at it's worst. Compare anything Teresa Brewer did to any talented singers like Ella Fitzgerald, Anita O'Day, or even Rosemary Clooney, or Doris Day. Teresa Brewer belongs in the category of talentlass hacks like Patti Page and Andy Williams. Stay away from this dated muzak."
1,Not anywhere near as good as other Altoids flavors,"Being a mint snob, I constantly am on the lookout for new varieties of coolness to what may already be a lifetime mint addiction. So disappointed that this new Spearmint Altoids is nowhere near Altoids Ginger or Cinnamon flavors. You pop it into your mouth, expecting either the distinctive spice of spearmint or the full-on blast of a regular mint, and on both counts it falls short. It neither belongs to the ""Curiously Strong"" or the ""naturally-flavored"" categories; it falls somewhere in the middle of the pack. All I get in my mouth is the refreshing feel of artificiality that quickly wears out in a few minutes. You'd be better off buying generic mints. Big taste fail."
1,"New taste, much worse","Sorely disappointed in the new taste. Change for the worse, very much so. Not buying Altoids in light of this."
1,This is pure dross,The entire X-Men history of thirty years has been destroyed in one pathetically constructed alternate reality.
1,FIX spearmint Altoids!,"The original spearmint Altoids flavor was my favorite flavor. The ""new and improved"" version is quite nasty in comparison. Please bring back the original spearmint flavor!"
1,"New ""improved"" flavor is AWFUL!!!","Spearmint Altoids were my favorite for years. When local stores quit stocking them, I began ordering them on-line. How disappointing it was to receive the new ""improved"" flavored Spearmint Altoids. They're AWFUL! I can't believe they would take their best product (in my opinion) and totally trash it. Please bring back the original Spearmint Altoids. PLEASE!!!"
1,NASTY!!,"Tastes as if they colored the peppermint Altoids green...Stronger than original and definitely NOT spearmint-flavored! Original had pleasant, mildly sweet taste. Haven't we learned from Coca-Cola to leave well enough alone??"
1,Product not as described.,My package did not contain VB 2005. It contained Visual Web Developer.Microsoft subsequently sent me the VB 2005 CD.VB 2005 will NOT import my VB 6.0 project file. Will have to re-write the program in VB 2005. Very disappointed.
1,Microsoft Visual Basic Express,"The product was shipped with the correct book, but with a disk containing the wrong information. I contacted Microsoft, but received an unacceptable response. I was instructed to contact Amazon. However, since the package was sealed and the disk label said Visual Basic, I thought it was ridiculous to assume that Amazon had done anything wrong. After several unproductive exchanges with the Microsoft complaint department, I gave up and downloaded the necessary files from the internet. My service from Amazon was very good. My service from microsoft was unacceptable."
1,Order the book and get the same program for FREE,"It's amazing to think that anyone would buy this program when it can be downloaded from the Microsoft site for free. If you need a CD, then order Microsoft's book, ""Build a Program Now!, Microsoft Visual Basic 2005 Express Edition"" by Patrice Pelland for about a third of the price. The CD comes with the complete program.The two stars are for sticking it to the consumer and does not reflect on VB Express itself. The program is quite good and an excellent way to get started with programming--especially with the ""Build a Program Now!"" book."
1,"DO NOT BUY THE ""NEW GREAT TASTE"" Spearmint Altoids","Just tried the ""new great taste""-labeled Spearmint Altoids and they are HORRIBLE. For some reason, the Oil of Spearmint has been removed and replaced with artificial flavoring. These don't even taste like spearmint..."
1,Not Again,"I love spearmint, so I was intrigued when I read all the bad reviews on the ""New and Improved"" Altoids Spearmint. How bad could they be, I thought? Especially when the other Altoids flavors are 1st rate. The answer to ""How bad could they be?"" is ""VERY!"" I'm not exactly sure what flavor these are. I know it says spearmint on the tin, but they taste more like winter-pepper-spear-cina-mysterymint. I wish I had tasted the original Altoids Spearmints before they were tinkered with. Obviously it was a financial decision on the part of the company to mess with the formula: fake flavoring is always cheaper than the real thing. But why these companies are so shortsighted is beyond me. In this instance, a penny gained is another customer lost. Stupid."
1,Short-Changed,"9 episodes of D&D for $9? Do yourself a favor and fork over $5 more for the complete 27 episode version... unless your a completist, the picture disc IS different for this release (it contains the title ""The Animated Series, Beginnings"" and has a cool world map, a layout of the land -- Tolkien style). It does not even remotely compare to the $40 BCI edition with all of the extras; and remastered, espcially in comparison that it's missing the other 18 episodes. This introduction DVD version, played on my Blu-ray player couldn't even help color-correct this edition; parts would be 'bright' and then all of a sudden wash-out and get dull; at approximately 3 hours and 18 minutes, it felt awfully compressed. The sound is great; the packaging is ultra strange, a huge clam case that holds... one envelope."
1,go back to the old recipe,"I have to agree with Bob Trombone. I am so disappointed with the new Spearmint Altoids. Having searched for a couple of weeks for them, I was overjoyed to find them, only to be disappointed. Please go back to the old recipe!!!"
1,Not so Spearmint.,"The Spearmint Altoids do not taste like spearmintat all. They taste just like the peppermint ones.Someone ought to tell them that there is a difference between peppermint and spearmint.I hate peppermint. I bought these because the tin clearly says ""SPEARMINT - New Great Taste"" on it.Even for the amount of money I paid, they still should refund it.They suck."
1,New Altoids Spearmint,"Altoids Spearmint has been my favorite mint for many years. It has become increasingly hard to find the Spearmint tins here though. I will usually buy several tins whenever I can find them, not knowing when I will find them again. I finally ran out of my supply and went looking for a refill. I was able to find them at CVS. I noticed the label said NEW GREAT TASTE.....Well, I won't exactly say YUCK, but these no longer taste like Spearmint at all. I don't know what they are using as a substitute for their original Spearmint oil, but is is a VERY POOR substitute. I now have two tins of these mints to eat. They are edible, but nothing I would buy again. Such a shame ! ! !"
1,Major Disappointment,"... I was thrilled with the vocabulary levels, plot devices, and character depictions in the original series (I read #3, ""The Bungalow Mystery""), and fairly impressed also with the ""Nancy Drew Files"". However, the ""On Campus"" series is a travesty. It is a sensationalized,... and dumbed-down version of a classic series. ..."
1,Tales of the Kingdom Hardcover,"I was a bit disappointed when I received this book in the mail and flipped through it. One of the pages was scribbled with a significant amount of green marker, and another couple pages had crayon ""drawings"" on them. This was not listed in the review, and I was sad to find that the review didn't match the quality of the actual product.Besides this flaw, the book is absolutely amazing. I love to read it myself and have enjoyed sharing it with others."
1,Move along...,"I am an avid reader of Julia Alvarez. I collect first-editions of her novels and poetry collections.However, I had to force myself to finish this one. I thoroughly enjoyed the story of Isabel but each time one of her chapters would end, I'd suffer through another one about Alma. I'd put down the book for days on end and have to make myself pick it up again.I'd love to see Alvarez try again and write a story about the Spanish Royal Philanthropic Expedition with nothing else to distract from it.If you're interested in Julia Alvarez, try ""In the Time of Butterflies"" or ""Garcia Girls"" instead. Skip this one."
1,Definitely skip this one,"The so-called hero is a brute and a bully. At one point he attempts to starve his wife into bending to his rule. They hate each other until the very last page of the book, when they suddenly, and totally unconvincingly, declare their undying love! Give me a break!"
1,BORING!,"I have never felt so inspired to write a review. I generally feel obligated to finish books that I purchase, but I am really struggling with this one. I am an avid reader and have probably read close to 8 books in the last 3 months. Some of them very enjoyable. However......"
1,Tedius and Wordy -- What Was I Thinking,"This novel goes on and on and on. The protagonist is self-absorbed, the characters mostly sketched rather than developed. Alvarez offers one stereotype after another. There may be themes buried in all the blah blah, but I am finding them hard to detect. Alvarez has issues with the publishing industry. Who doesn't? This is one of the worst purchases I have made in a long time."
1,Uh-uh!!,"I purchased this book, thinking that it would be as good as the originals- and I was wrong. This (no offense, anybody, I just don't like it) trashes Nancy and Ned's relationship- I consider it downright stupid. For those of you who want Nancy and Ned to stay together, don't bother with this one."
1,Wrong adapter.,"The pictured adapter looks like and the ad describes it as a stereo female and mono male. I received the reverse, i.e., a stereo male and mono female!! I misplaced the paperwork and could not contact the vendor so they could replace the item with the correct adapter. How can this matter be taken care of??"
1,What happened?,"I agree with Jessica Cook. Nancy Drew changed! Why did Carolyn Keene start to write this, what I think, horrible series? The originals were the best, then she did the Nancy Drew files and they were pretty good. But in this series, Nancy and every single other character has changed!!!(I'm writing this after I've read all of the ones published.) Burt and Dave are gone. You're not believe going to believe what happens between Nancy and Ned, and there really are no mysteries! It's become one of the things I hate most, a soap opera! I apologize if anyone is offended, but I think Carolyn Keene should have stopped after the Nancy Drew Files."
1,A little disappointed...,"I am an avid Nancy Drew reader and I was looking for some material for older kids to try. I bought this one and was a little disappointed with it. First of all, the plot was a little amature. I mean stealing? And second of all, the fact that Nancy just ditched Ned was a little mean! You can't just drop a couple after they were together for practicaly the whole series. That's just what I thought of it."
1,bad price on below average product,these undersized and overpriced packets of miso soup has additives like 'dry fish powder' and i did not notice the small print of ingrediants before buying and accepting shipment. i have other products ordered through amazon that are great and repeatedly shipped to my door but this product is inferior and i wish i could get a refund on unused and still sealed portion.
1,Another Hate Filled Book from the Christian Right,"The Christian Right and Conservative Religions (as a human organization) by their very principles has always been a convenient land for right-wing authoritarians to stake their arguments against change. This has played out in every single human rights struggle pretty much ever. This books is a classic example of this syndrome, it's lies, it's misrepresentations... It is reminicent of the type of propaganda put out by Joseph Goebbels."
1,Rednecks can write??,"This book was the most homophobic, intolerant book I have ever laid my eyes upon. The Authors of this atrocity need to realize that there are some people in this country who aren't Christian, and don't want to be oppressed by your religious rulings.If you don't like homosexuals (someone who is born with a biological, hormonal imbalance in their brain and who is not prone to a choice on sexuality) then you can sit at home and complain about it with all your intolerant friends.Acceptance, please."
1,"This is My One Commandment,","This is my one commandment, That ye love one another as I have loved you. John 15.12.Listen to Him, no him."
1,Amazingly stupid--one wonders why it was written.,I can hardly believe I finished reading this book as every page was more stupid than the previous one. I am not a regular reader of Danielle Steel but read them when given to me. If the author has future ideas of writing more of this kind I will not bother to read them even though they are free. A complete waste of time and energy.
1,This Must Be A Joke,This has got to be the stupidest book I have ever read. I cannot believe it was published and am very upset I paid money for it.
1,"Silly, But Entertaining","No one dies, as they do in most Steele novels, but ""Klone"" is entertaining anyhow. Recommend as an audio listen, not as a read."
1,NO STARS,"steph believes her husband leaves her after thirteen years of marriage because of her boring flannel night gowns and unshaved legs. in the meantime, she meets peter and quickly falls in love. peter is into bionics and while he goes away on business trips, he leaves behind his clone, paul to keep his girlfriend company. steph is torn because she finds herself in love with both peter and paul. when she's not having sex with peter, she's doing sexual acrobatics with paul.the whole story line is utterly ridiculous. the only reason i finished the book was because i was hoping it would get better.i kept thinking this would make some kind of comedy. unfortunately, i don't think danielle steel had comedy in mind when she wrote it. i do believe the reader was supposed to get sucked into a romantic love triangle. that didn't happen! instead, i continued to dislike steph's insecure, sex crazed character less and less."
1,The Worst Book I have ever read...,"There is no way I can discribe just how bad this book is. I finished the book thinking the plot has to be a dream or something the lead charactor had, and possibly it could be redeemed. No such luck, it's just a horrible story.The woman in the book should have had her kids removed from her household by CPS. She allows a drunk klone to stay in her house.Totally stupid. The charactors are all shallow and unlikable. The only thing that is good about this book is the the ending, because then you no longer have to suffer through this awful story."
1,Read on the beach-of all places,Read this in one day while sitting on the beach! What a confusing endin
1,Actually I'd rate it a minus 10.....,"Without a doubt the absolute worst book I have ever been stupid enough to buy. Intrigued by the incorrect grammar and spelling of the title, I picked it up on a quick run through the grocery store -- and should have left it there. Ms. Steel is clearly desperate to sell -- and quality be damned. She used to weave a pretty good tale, all variations on a theme and totally predictable but the stories made for a good read on a plane trip or a day at the beach. This one is an absolute embarrassment and she should be thoroughly ashamed."
1,The worst Danielle Steele I have ever read.,I have read a majority of her books and this just barely rates. The lead character of Stephanie is such a wimp that I wanted to slap her. I should have believed all the reviews that I read and not bothered to purchase it.
1,A SENSELESS STORY,"THIS BOOK WAS A FAST READ AND VERY SILLY,SOMETHING YOU WOULD READ BECAUSE YOU JUST DON'T HAVE ANYTHING ELSE TO DO."
1,far-fetched,This book is an insult to the readers intelligence. How Did Danielle Steele come up with this idea?
1,I hope they don' make this into a movie!,"I read DS once a year on vacation while sitting on the beach. This year I am sorry I did. This was the worse book I've ever read. A waste of time and money. I will never pick up a one of her books to read again. What was she thinking???? If I could have rated this a minus star, I would."
1,"Very different, very unlike Danielle Steele",Though I enjoyed it like all the others I found it a little too far fetched and a little hard to believe. They way she normally writes you can see the whole setting and picture the characters easily. This was harder to imagine.
1,Not up to her standard,"I have read every book she has written and I think that this has to be the worse book she has written. I am sorry that I bought it, and more sorry that I wasted by time reading it. I had to finish it because I couldn't believe it was so bad!"
1,"A ""Klone"" must have written this book.",I was extremely disappointed in this book. I will not finish it. We want the real Danielle Steele back. Try again Danielle.
1,DISAPPOINTED!!!,"I have read all of Danielle Steel's books, but this book was a real waste of time and money. It just kept going around in circles. This was the first Danielle Steel book that I was dying to finish and not in a good way..."
1,Out in left field some where,"Half way threw the book, I almost put it down but I always finish a book no matter how stupid it is. This book was not up to danielle Steel's potential. It was a waste of money & time."
1,I think she needs a LONG vacation,"Before I begin, let me say I have been a fan of Danielle Steel since day one.... I am TRULY DISAPPOINTED IN THIS BOOK . I cannot even begin to think of what she was thinking when she wrote this book. IT WAS HORRIBLE. After reading THE LONG ROAD HOME which was my favorite she writes this piece of trash. The main character was really a first class tramp according to this book..going to bed with Peter and then his klone which is a MACHINE. Come on now are we hard up for a machine sex organ to keep us going???? I hope the next one is better......"
1,edgar cayce s predictions for the 21st century,"The book is good if you want to learn a version of meditation. Many of the predictions in the book were wrong, the events came and went. I have actually lost interest in Casey's work because of this book. No wow factor. I'll take a look at another book sometime in the future to regain my interest in Edgar Casey. An easy prediction for this book, it will not be a best seller."
1,A Big Waste of money,I have read every book Ms. Steel has written. I even took part of the grocery money this week to buy this book. What a waste of money and a waste of time to read it. I am surprised that Ms. Steel would even expect her readers to like this book.
1,Could've Been Better,"I'm a big fan Of Danielle Steel books. The Klone and I was okay but nowhere near comapre dot some of her other works. It actually seemed to get better as the book progressed though. I would say ""Read it - but do not get your hopes up"""
1,I didn't like this bo ok,"I used to take pride in the fact that I was a Steel fan, but I'm about to jump off the Steel band wagon. I was devasted by the clone and I. I wish this book would never have been published.-Nutcase"
1,A Second Disappointment,"I was disappointed in the previous book, and vowed not to read another non-Scarpetta novel. But, I ordered The Klone and Ibecause I decided to give Danielle Steel another chance. I was so disappointed."
1,A Second Disappointment,"Under most circumstances, I read a Steel novel in one evening -- but not this time. However, it was a completely different type of novel and had it been written by any author other than Steel, I probably would not have bought it. From now on, I'll just wait for the next novel. --3rd Tom"
1,Disappointed!!!,"I'd like to start this by saying that I'm a fan and am there to buy her books the minute they're available, and I was really looking forward to getting to know more about these new characters.. had enjoyed their arrival in her last book... but WAS SO DISAPPOINTED... it was never really developed and kind of ""I don't know"" what was she going for. from Emmet"
1,Worst book I have read,I have read a lot of books and I can clearly say that this is the worst book I have ever read in my life. Danielle steel really blew it this time.
1,Unreal and Unbelievable,"I found this book to be so unreal and unbelievable that it was hard for me to relate to the story. I felt detatched from the characters and even bored at times. I also thought the main character was a poor representation of a woman, especially for her love life."
1,Absolutely stupid,"I have been reading DS Books since I was a teen and this book didn't even seem like it was written by her. It feels like in the last 3-4 years DS has some sort of deadline to meet and a certian amount of books to write per year. This was like a fill-in book to keep you reading until she comes up with a good one. It was dumb, boring, and very predictable. Don't waste your time or money on this unless you need fire starter."
1,Disappointing,"I was extremely disappointed in this, Ms. Steele's latest book. Coming so soon after ""The Long Road Home"" made it that much more disappointing. The story line and characters are highly unbelievable."
1,Boring,"I got about half way through before deciding to turn this horrible film off. Upon reading some very positive reviews i decided to finish the rest. What a waste of time. I spent most of my time wondering if I was watching the same film as other reviewers. This movie is boring, and a complete waste of time. Its not funny at all, just completely lame. I would suggest watching anything else that you can find instead of this film. BTW, I am a big low budget b grade horror fan. This is just garbage. There is one decent scene at the end involving a hatchet and a chainsaw, but it is nothing special and is not worth watching the rest of the movie for."
1,DER HIT-MIX DAS ALBUM - ROLAND KAISER,"Roland Kaiser's voice and Music are still a joy to listen to, the CD is very disapointing. They cramed 32 songs ( short versions ) on one CD. It's something if you want to open a Disco and have a Roland Kaiser evening. I buy my Music because of my long commute to/from work. This is not a joy to listen to. I have to buy a new CD, that I can have the complete versions, and can enjoy, now I am out the money for this one. I paid 16.49. I would have been happy to pay an extra $ 5.00 to get a double CD set with the complete versions."
